Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Soutenances finales D-POO-700"	"26.11.2021 14:00 CET"	"26.11.2021 17:30 CET"	""	""	""
"Delivery 1 is due"	"28.11.2021 23:42 CET"	"28.11.2021 23:42 CET"	""	""	""
"ENTREPRISE"	"29.11.2021 00:00 CET"	"02.12.2021 00:00 CET"	""	""	""
"Follow-up Gotham"	"02.12.2021 09:30 CET"	"02.12.2021 17:30 CET"	""	""	""
"Projet JavaScript"	"03.12.2021 09:30 CET"	"03.12.2021 17:30 CET"	""	""	""
"ENTREPRISE"	"06.12.2021 00:00 CET"	"09.12.2021 00:00 CET"	""	""	""
"Projet JavaScript : salle 604"	"09.12.2021 09:30 CET"	"09.12.2021 17:30 CET"	""	""	""
"Stratégies de référencement - Nicolas Barbé-Calon : salle 604"	"10.12.2021 09:30 CET"	"10.12.2021 13:00 CET"	""	""	""
"Coaching avec Cécile Coursol : salle 604"	"10.12.2021 14:00 CET"	"10.12.2021 17:30 CET"	""	""	""
"ENTREPRISE"	"13.12.2021 00:00 CET"	"16.12.2021 00:00 CET"	""	""	""
"Projets Gotham / JavaScript - Nour Ezzedeen : salle 204"	"16.12.2021 09:30 CET"	"16.12.2021 13:00 CET"	""	""	""
"Coaching professionnel - Cécile Coursol : salle 204"	"16.12.2021 14:00 CET"	"16.12.2021 17:30 CET"	""	""	""
"Projets JavaScript / Gotham : salle 204"	"17.12.2021 09:30 CET"	"17.12.2021 13:00 CET"	""	""	""
"Projets JavaScript / Gotham : salle 204"	"17.12.2021 14:00 CET"	"17.12.2021 17:30 CET"	""	""	""
"Exercises 01 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 02 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 03 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 04 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"Exercises 05 is due"	"17.12.2021 23:42 CET"	"17.12.2021 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"ENTREPRISE"	"20.12.2021 00:00 CET"	"08.01.2022 00:00 CET"	""	""	""
"Delivery 2 is due"	"02.01.2022 23:42 CET"	"02.01.2022 23:42 CET"	""	""	""
"Piscine Change Management &amp\; team building"	"10.01.2022 09:30 CET"	"10.01.2022 17:30 CET"	""	""	""
"Temps de projets - Nour Ezzedeen"	"13.01.2022 09:30 CET"	"13.01.2022 13:00 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"13.01.2022 14:00 CET"	"13.01.2022 17:30 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"14.01.2022 09:30 CET"	"14.01.2022 13:00 CET"	""	""	""
"Temps de projets / Coaching avec Cécile Coursol"	"14.01.2022 14:00 CET"	"14.01.2022 17:30 CET"	""	""	""
"Temps de projets - Nour Ezzedeen"	"20.01.2022 09:30 CET"	"20.01.2022 17:30 CET"	""	""	""
"Temps de projets - Nour Ezzedeen"	"21.01.2022 09:30 CET"	"21.01.2022 13:00 CET"	""	""	""
"Coaching - Cécile Coursol"	"21.01.2022 14:00 CET"	"21.01.2022 17:30 CET"	""	""	""
"Delivery 3 is due"	"23.01.2022 23:42 CET"	"23.01.2022 23:42 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"27.01.2022 09:30 CET"	"27.01.2022 17:30 CET"	""	""	""
"Follow-up Gotham / Temps de projets - Nour Ezzedeen"	"28.01.2022 09:30 CET"	"28.01.2022 13:00 CET"	""	""	""
"Meeting with your Teacher, Julien CHASSARD"	"28.01.2022 10:30 CET"	"28.01.2022 11:00 CET"	"Review 3 [1]  In groups, discuss the progress of your project with your referent.   Links: ------ [1] https://gandalf.epitech.eu/mod/scheduler/view.php?id=3198 "	""	""
"Follow-up Gotham"	"28.01.2022 14:00 CET"	"28.01.2022 17:30 CET"	""	""	""
"Coaching - Cécile Coursol"	"28.01.2022 14:00 CET"	"28.01.2022 17:30 CET"	""	""	""
"Project Racing JS is due"	"30.01.2022 23:42 CET"	"30.01.2022 23:42 CET"	"_Find here your mission and submit your delivery on github_ "	""	""
"ENTREPRISE"	"31.01.2022 00:00 CET"	"10.02.2022 00:00 CET"	""	""	""
"Final delivery is due"	"06.02.2022 23:42 CET"	"06.02.2022 23:42 CET"	""	""	""
"Feedback Racing JS closes"	"06.02.2022 23:42 CET"	"06.02.2022 23:42 CET"	"You can share with us your thoughts and opinions regarding thisproject. Course creators will consider the feedbacks to improve the quality of the course.  All submitted feedback are anonymous, your responses will not affect your assessment. Give freely your opinion, but moderate yourself to stay constructive. Positive and negative feedbacks are welcome. "	""	""
"Feedback Racing JS should be completed"	"06.02.2022 23:42 CET"	"06.02.2022 23:42 CET"	"You can share with us your thoughts and opinions regarding thisproject. Course creators will consider the feedbacks to improve the quality of the course.  All submitted feedback are anonymous, your responses will not affect your assessment. Give freely your opinion, but moderate yourself to stay constructive. Positive and negative feedbacks are welcome. "	""	""
"Soutenances finales Gotham"	"10.02.2022 09:30 CET"	"10.02.2022 17:30 CET"	""	""	""
"Stratégies de référencement - Nicolas Barbé-Calon : salle 204"	"11.02.2022 09:30 CET"	"11.02.2022 13:00 CET"	""	""	""
"Kick-off Digitalendar : salle 204"	"11.02.2022 14:00 CET"	"11.02.2022 17:30 CET"	""	""	""
"Feedback closes"	"13.02.2022 23:42 CET"	"13.02.2022 23:42 CET"	"You can share with us your thoughts and opinions regarding thisproject. Course creators will consider the feedbacks to improve the quality of the course.  All submitted feedback [1] are anonymous, your responses will not affect your assessment. Give freely your opinion, but moderate yourself to stay constructive. Positive and negative feedbacks are welcome.   Links: ------ [1] https://gandalf.epitech.eu/mod/feedback/view.php?id=3206 "	""	""
"Feedback should be completed"	"13.02.2022 23:42 CET"	"13.02.2022 23:42 CET"	"You can share with us your thoughts and opinions regarding thisproject. Course creators will consider the feedbacks to improve the quality of the course.  All submitted feedback [1] are anonymous, your responses will not affect your assessment. Give freely your opinion, but moderate yourself to stay constructive. Positive and negative feedbacks are welcome.   Links: ------ [1] https://gandalf.epitech.eu/mod/feedback/view.php?id=3206 "	""	""
"Peer Evaluation deadline for assessment"	"13.02.2022 23:42 CET"	"13.02.2022 23:42 CET"	"Auto-evaluate your behaviour inside your project group as well as your other mates's. This evaluation is important to improve your project management skills with your referent. "	""	""
"Peer Evaluation should be completed"	"13.02.2022 23:42 CET"	"13.02.2022 23:42 CET"	"Auto-evaluate your behaviour inside your project group as well as your other mates's. This evaluation is important to improve your project management skills with your referent. "	""	""
"ENTREPRISE"	"14.02.2022 00:00 CET"	"17.02.2022 00:00 CET"	""	""	""
"Projets : Salle 203"	"17.02.2022 09:30 CET"	"17.02.2022 13:00 CET"	""	""	""
"Kick-off DIT-810 (Dossier Médical Partagé)"	"17.02.2022 11:00 CET"	"17.02.2022 12:00 CET"	""	""	""
"Projets / Coaching avec Cécile Coursol : Salle 203"	"17.02.2022 14:00 CET"	"17.02.2022 17:30 CET"	""	""	""
"Stratégies de référencement - Nicolas Barbé-Calon : à distance"	"18.02.2022 09:30 CET"	"18.02.2022 13:00 CET"	""	""	""
"Stratégies en Design d'Innovation - Nicolas Bry : à distance"	"18.02.2022 14:00 CET"	"18.02.2022 17:30 CET"	""	""	""
"ENTREPRISE"	"21.02.2022 00:00 CET"	"24.02.2022 00:00 CET"	""	""	""
"Projets"	"24.02.2022 09:30 CET"	"24.02.2022 17:30 CET"	""	""	""
"Digitalendar Bootstrap 1"	"24.02.2022 14:00 CET"	"24.02.2022 17:30 CET"	""	""	""
"Stratégies de référencement - Nicolas Barbé-Calon : salle 203"	"25.02.2022 09:30 CET"	"25.02.2022 13:00 CET"	""	""	""
"Stratégies en Design d'Innovation - Nicolas Bry : salle 203"	"25.02.2022 14:00 CET"	"25.02.2022 17:30 CET"	""	""	""
"Team Builder should be completed"	"27.02.2022 23:42 CET"	"27.02.2022 23:42 CET"	"_Build your group accordingly to the following rules:_  	* _4≤ Students per group ≤ 5_ 	* _You can enroll to one group only_  	* _You can update your choice until deadline_  	* _Incomplete groups and undecide students may be randomly dispatched after deadline_  "	""	""
"Team Builder (Due date)"	"27.02.2022 23:42 CET"	"27.02.2022 23:42 CET"	"_Build your group accordingly to the following rules:_  	* _4≤ Students per group ≤ 5_ 	* _You can enroll to one group only_  	* _You can update your choice until deadline_  	* _Incomplete groups and undecide students may be randomly dispatched after deadline_  "	""	""
"ENTREPRISE"	"28.02.2022 00:00 CET"	"03.03.2022 00:00 CET"	""	""	""
"Temps de projets avec Nour Ezzedeen : salle 203"	"03.03.2022 09:30 CET"	"03.03.2022 17:30 CET"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/mad-eweu-ztz"	""	""
"Stratégies de référencement - Nicolas Barbé-Calon : salle 203"	"04.03.2022 09:30 CET"	"04.03.2022 13:00 CET"	""	""	""
"Meeting with your Teacher, Lucas BRIGNON"	"04.03.2022 14:00 CET"	"04.03.2022 14:30 CET"	"Follow-up 1 [1]  In groups, discuss the progress of your project [2] with your referent.    Links: ------ [1] https://gandalf.epitech.eu/mod/scheduler/view.php?id=4364 [2] https://gandalf.epitech.eu/mod/assign/view.php?id=4363 "	""	""
"Temps de projets : salle 203"	"04.03.2022 14:00 CET"	"04.03.2022 17:30 CET"	""	""	""
"ENTREPRISE"	"07.03.2022 00:00 CET"	"10.03.2022 00:00 CET"	""	""	""
"Projets"	"10.03.2022 09:30 CET"	"10.03.2022 17:30 CET"	""	""	""
"Présentation des langages Web - Baptiste Fehrenbach : salle 203"	"11.03.2022 09:30 CET"	"11.03.2022 13:00 CET"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/fkz-zirv-hkk"	""	""
"Création et Gestion d'entreprise - Christian Kosiek : salle 203"	"11.03.2022 14:00 CET"	"11.03.2022 17:30 CET"	""	""	""
"ENTREPRISE"	"14.03.2022 00:00 CET"	"17.03.2022 00:00 CET"	""	""	""
"Projets"	"17.03.2022 09:30 CET"	"17.03.2022 17:30 CET"	""	""	""
"Présentation des langages Web - Baptiste Fehrenbach"	"17.03.2022 09:30 CET"	"17.03.2022 13:00 CET"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/qif-mnyc-ncc"	""	""
"Digitalendar Bootstrap 2"	"17.03.2022 14:00 CET"	"17.03.2022 17:30 CET"	""	""	""
"Stratégies en Design d'Innovation - Nicolas Bry"	"18.03.2022 09:30 CET"	"18.03.2022 13:00 CET"	""	""	""
"Meeting with your Teacher, Lucas BRIGNON"	"18.03.2022 11:30 CET"	"18.03.2022 12:00 CET"	"Follow-up 1 [1]  In groups, discuss the progress of your project [2] with your referent.    Links: ------ [1] https://gandalf.epitech.eu/mod/scheduler/view.php?id=4364 [2] https://gandalf.epitech.eu/mod/assign/view.php?id=4363 "	""	""
"Création et Gestion d'entreprise - Christian Kosiek"	"18.03.2022 14:00 CET"	"18.03.2022 17:30 CET"	""	""	""
"ENTREPRISE"	"21.03.2022 00:00 CET"	"24.03.2022 00:00 CET"	""	""	""
"Temps de projets / Coaching avec Cécile Coursol"	"24.03.2022 09:30 CET"	"24.03.2022 17:30 CET"	""	""	""
"Digitalendar Bootstrap 3"	"24.03.2022 14:00 CET"	"24.03.2022 17:30 CET"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"25.03.2022 09:30 CET"	"25.03.2022 13:00 CET"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/rxr-prez-dqj"	""	""
"Création et Gestion d'entreprise - Christian Kosiek"	"25.03.2022 14:00 CET"	"25.03.2022 17:30 CET"	""	""	""
"ENTREPRISE"	"28.03.2022 00:00 CEST"	"31.03.2022 00:00 CEST"	""	""	""
"Projets"	"31.03.2022 09:30 CEST"	"31.03.2022 17:30 CEST"	""	""	""
"Stratégies en Design d'Innovation - Nicolas Bry"	"01.04.2022 09:30 CEST"	"01.04.2022 13:00 CEST"	""	""	""
"Création et Gestion d'entreprise - Christian Kosiek"	"01.04.2022 14:00 CEST"	"01.04.2022 17:30 CEST"	""	""	""
"ENTREPRISE"	"04.04.2022 00:00 CEST"	"07.04.2022 00:00 CEST"	""	""	""
"Projets"	"07.04.2022 09:30 CEST"	"07.04.2022 17:30 CEST"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"08.04.2022 09:30 CEST"	"08.04.2022 13:00 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/aah-vxxc-vtj"	""	""
"Project is due"	"10.04.2022 23:42 CEST"	"10.04.2022 23:42 CEST"	"Find here YOUR MISSION and submit your FINAL DELIVERY ON GITHUB  	*  	* Refer to the general documentation [1]  to improve the qualityof your project [2]'s delivery with a README  	* All files and documentsrelated to this project should always be present on your repository    Links: ------ [1] https://merlin.epitech.eu/course/search.php?q=starter+pack&amp\;areaids=core_course-course [2] https://gandalf.epitech.eu/mod/assign/view.php?id=4684 "	""	""
"ENTREPRISE"	"11.04.2022 00:00 CEST"	"14.04.2022 00:00 CEST"	""	""	""
"Content feedback opens"	"11.04.2022 09:00 CEST"	"11.04.2022 09:00 CEST"	"* You can share with us your thoughts and opinions regarding THE CONTENT of this course 	* This feedback contains 6 MCQ and 3 open questions -> estimated time 5-10 min 	* Course creators will consider your feedbacks to improve the quality of this course 	* Give freely your opinion, but moderate yourself to stay constructive 	* All submitted feedback are ANONYMOUS  "	""	""
"Projets / Keynote Digitalendar"	"14.04.2022 09:30 CEST"	"14.04.2022 17:30 CEST"	""	""	""
"Développement d'entreprise - Nour Ezzedeen"	"15.04.2022 09:30 CEST"	"15.04.2022 13:00 CEST"	"Deze afspraak bevat een videogesprek. Deelnemen: https://meet.google.com/qab-jnsu-xcr"	""	""
"JOUR FERIE"	"18.04.2022 00:00 CEST"	"18.04.2022 00:00 CEST"	""	""	""
"ENTREPRISE"	"19.04.2022 00:00 CEST"	"21.04.2022 00:00 CEST"	""	""	""
"Projets"	"21.04.2022 09:30 CEST"	"21.04.2022 17:30 CEST"	""	""	""
"Stratégies en Design d'Innovation - Nicolas Bry"	"22.04.2022 09:30 CEST"	"22.04.2022 13:00 CEST"	""	""	""
